Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2024-01-01,AAPL,150.81,151.22,149.31,150.1,150.1,4369720
2024-01-02,AAPL,149.93,150.64,148.99,150.3,150.3,1516771
2024-01-03,AAPL,150.47,152.67,148.9,151.26,151.26,3928009
2024-01-04,AAPL,152.77,154.32,150.43,152.96,152.96,3660196
2024-01-05,AAPL,152.18,153.51,151.41,151.69,151.69,3640328
2024-01-08,AAPL,152.42,154.1,148.78,151.89,151.89,1691095
2024-01-09,AAPL,153.88,153.75,152.15,153.4,153.4,1833727
2024-01-10,AAPL,154.37,155.91,153.56,154.08,154.08,4132130
2024-01-11,AAPL,153.51,154.48,153.79,154.82,154.82,2162928
2024-01-12,AAPL,153.72,155.45,153.73,154.68,154.68,1869474
2024-01-15,AAPL,153.79,154.56,151.69,153.39,153.39,3183151
2024-01-16,AAPL,153.98,155.86,153.45,154.01,154.01,4163683
2024-01-17,AAPL,153.9,153.85,152.2,154.85,154.85,4970001
2024-01-18,AAPL,151.26,154.23,151.17,152.4,152.4,1070640
2024-01-19,AAPL,150.24,154.08,148.78,149.4,149.4,1196582
2024-01-22,AAPL,149.79,150.83,147.27,149.35,149.35,3000991
2024-01-23,AAPL,148.14,148.71,147.41,149.21,149.21,4889814
2024-01-24,AAPL,148.97,149.34,148.41,148.54,148.54,1400573
2024-01-25,AAPL,148.02,148.12,146.77,148.21,148.21,2474271
2024-01-26,AAPL,146.0,149.56,144.73,146.96,146.96,1061476
2024-01-29,AAPL,148.22,148.37,147.7,147.58,147.58,2355531
2024-01-30,AAPL,148.09,148.35,145.85,147.78,147.78,2215856
2024-01-31,AAPL,148.42,150.1,145.47,146.26,146.26,1675510
2024-02-01,AAPL,146.98,147.23,146.18,145.94,145.94,4741196
2024-02-02,AAPL,145.22,147.13,145.52,145.79,145.79,3795798
2024-02-05,AAPL,145.55,146.78,144.85,145.4,145.4,3734296
2024-02-06,AAPL,145.13,146.25,143.02,145.69,145.69,3511720
2024-02-07,AAPL,145.5,145.74,143.27,144.53,144.53,4331869
2024-02-08,AAPL,144.9,145.44,143.86,144.43,144.43,1898320
2024-02-09,AAPL,146.28,145.13,143.91,144.42,144.42,1634736
2024-02-12,AAPL,144.04,143.9,143.38,144.47,144.47,2587261
2024-02-13,AAPL,146.17,147.06,145.09,144.89,144.89,3007635
2024-02-14,AAPL,146.07,146.65,144.57,146.17,146.17,2226607
2024-02-15,AAPL,144.86,145.03,144.19,144.54,144.54,4065173
2024-02-16,AAPL,145.2,145.95,144.92,144.87,144.87,4264908
2024-02-19,AAPL,144.52,146.33,143.07,144.37,144.37,1066234
2024-02-20,AAPL,143.96,144.79,141.55,144.45,144.45,2612818
2024-02-21,AAPL,142.27,142.78,141.68,142.09,142.09,3275504
2024-02-22,AAPL,140.81,141.07,139.27,141.09,141.09,4225187
2024-02-23,AAPL,141.3,141.61,140.27,141.06,141.06,1409995
2024-02-26,AAPL,143.15,144.12,140.53,142.05,142.05,3292156
2024-02-27,AAPL,141.23,142.8,140.98,142.5,142.5,1466152
2024-02-28,AAPL,142.39,142.56,140.31,142.84,142.84,2990546
2024-02-29,AAPL,140.94,142.95,140.52,141.13,141.13,3003019
2024-03-01,AAPL,140.03,140.51,138.82,141.34,141.34,2773832
2024-03-04,AAPL,140.09,140.16,138.93,138.57,138.57,4204891
2024-03-05,AAPL,139.12,141.92,137.86,139.01,139.01,4621581
2024-03-06,AAPL,139.61,140.41,137.3,140.44,140.44,1051934
2024-03-07,AAPL,140.13,140.88,140.12,140.63,140.63,2768831
2024-03-08,AAPL,139.07,138.84,137.6,138.41,138.41,1425523
2024-03-11,AAPL,138.69,141.93,137.72,138.95,138.95,1840530
2024-03-12,AAPL,138.77,138.71,137.44,138.42,138.42,4599865
2024-03-13,AAPL,138.01,138.08,137.87,137.69,137.69,1005486
2024-03-14,AAPL,138.27,142.29,138.09,139.02,139.02,2187983
2024-03-15,AAPL,140.7,139.92,139.22,139.81,139.81,1873332
2024-03-18,AAPL,140.88,141.01,139.32,140.22,140.22,4796036
2024-03-19,AAPL,138.71,139.78,139.7,140.17,140.17,2039458
2024-03-20,AAPL,139.51,141.17,137.23,139.57,139.57,4772811
2024-03-21,AAPL,139.41,141.46,139.35,140.15,140.15,3317336
2024-03-22,AAPL,141.15,141.85,136.64,141.04,141.04,3763642
2024-01-01,MSFT,319.31,320.85,318.2,319.92,319.92,4090649
2024-01-02,MSFT,319.31,321.91,318.94,320.25,320.25,2255564
2024-01-03,MSFT,319.14,320.72,318.41,320.49,320.49,2908327
2024-01-04,MSFT,321.71,324.4,321.69,322.14,322.14,1125885
2024-01-05,MSFT,322.65,325.39,322.6,322.51,322.51,1896209
2024-01-08,MSFT,324.38,325.53,322.57,322.95,322.95,1541656
2024-01-09,MSFT,324.13,324.32,321.63,323.72,323.72,1670688
2024-01-10,MSFT,323.69,324.01,322.5,323.53,323.53,3285166
2024-01-11,MSFT,323.01,324.49,319.24,322.38,322.38,3188903
2024-01-12,MSFT,322.28,324.18,320.21,320.73,320.73,1230203
2024-01-15,MSFT,321.47,322.68,319.21,322.22,322.22,1813738
2024-01-16,MSFT,322.77,323.79,319.19,323.19,323.19,3051531
2024-01-17,MSFT,322.64,322.75,319.64,322.56,322.56,3792427
